epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6304,2.55188,2.99594,2.15655,0.3541,0.21062,0.1468,0.02536,3.31381,2.62976,3.17698,0.07426,0.00026,0.00026
2,73.9153,1.95255,1.61902,1.70495,0.2317,0.33097,0.18048,0.04416,2.85264,2.9606,2.33232,0.0475299,0.000529871,0.000529871
3,107.418,1.88746,1.51761,1.66862,0.46045,0.28319,0.27292,0.06058,2.97102,4.51274,2.48646,0.0207992,0.000799219,0.000799219
4,141.418,1.86416,1.33441,1.67891,0.654,0.64602,0.62647,0.21959,2.19351,1.92253,1.90037,0.000997803,0.000997803,0.000997803
5,175.053,1.79417,1.33277,1.67285,0.66198,0.43186,0.48993,0.16578,2.37328,2.45063,2.01899,0.000996097,0.000996097,0.000996097
6,208.179,1.80092,1.24417,1.65747,0.3816,0.37345,0.26412,0.0656,2.78543,4.54051,2.28438,0.000993906,0.000993906,0.000993906
7,241.132,1.74964,1.17957,1.58408,0.69098,0.51504,0.55085,0.19429,2.37268,1.75793,1.97191,0.000991232,0.000991232,0.000991232
8,274.29,1.6825,1.10897,1.5571,0.66983,0.56733,0.56351,0.18319,2.57045,1.41177,2.13413,0.000988079,0.000988079,0.000988079
9,307.783,1.65398,1.01944,1.55002,0.66678,0.54159,0.54817,0.15183,2.56927,1.56828,2.12526,0.000984449,0.000984449,0.000984449
10,340.965,1.652,1.00412,1.54965,0.74877,0.62774,0.69675,0.2807,2.11902,1.36114,1.76805,0.000980345,0.000980345,0.000980345
11,374.818,1.65355,0.97806,1.53264,0.73077,0.61012,0.6351,0.18313,2.65328,1.35974,2.14611,0.000975773,0.000975773,0.000975773
12,408.193,1.58487,0.9114,1.52132,0.64014,0.58761,0.53536,0.13197,2.78529,1.38829,2.38421,0.000970736,0.000970736,0.000970736
13,440.989,1.55841,0.88814,1.46837,0.74379,0.67434,0.68588,0.22951,2.4288,1.19335,2.044,0.000965239,0.000965239,0.000965239
14,474.06,1.54596,0.85269,1.45783,0.77915,0.62301,0.68102,0.28586,2.15627,1.44239,1.79095,0.000959289,0.000959289,0.000959289
15,508.052,1.57012,0.88814,1.4893,0.74816,0.66777,0.69912,0.3013,2.00323,1.26115,1.69939,0.000952889,0.000952889,0.000952889
16,541.719,1.52671,0.83888,1.46794,0.83651,0.66726,0.74069,0.29618,2.09731,1.14761,1.76727,0.000946048,0.000946048,0.000946048
17,574.753,1.45734,0.81553,1.41113,0.78748,0.69735,0.73173,0.24188,2.38107,1.18728,1.9909,0.000938772,0.000938772,0.000938772
18,607.775,1.48397,0.79676,1.43409,0.75297,0.59115,0.62946,0.20912,2.33769,1.40953,1.91687,0.000931067,0.000931067,0.000931067
19,640.771,1.42454,0.76995,1.38891,0.75097,0.62448,0.66025,0.19516,2.41262,1.29267,2.00255,0.000922942,0.000922942,0.000922942
20,673.64,1.43268,0.7505,1.40944,0.82069,0.66427,0.72885,0.2789,2.16724,1.16113,1.82219,0.000914405,0.000914405,0.000914405
21,706.546,1.36284,0.71898,1.36351,0.80373,0.69735,0.7619,0.27573,2.38763,1.10732,2.00095,0.000905463,0.000905463,0.000905463
22,739.849,1.338,0.68231,1.34445,0.81862,0.68673,0.75423,0.31506,2.08719,1.12676,1.79717,0.000896127,0.000896127,0.000896127
23,773.36,1.34106,0.67554,1.3384,0.78959,0.67745,0.74008,0.34253,1.96486,1.18485,1.7051,0.000886404,0.000886404,0.000886404
24,812.131,1.35883,0.67832,1.33537,0.819,0.70619,0.79226,0.35005,2.00517,1.12503,1.71191,0.000876305,0.000876305,0.000876305
25,845.895,1.3084,0.65351,1.32396,0.83142,0.6177,0.6912,0.23909,2.29627,1.31052,1.89541,0.000865839,0.000865839,0.000865839
26,879.108,1.31868,0.66578,1.3233,0.76122,0.63717,0.68989,0.29134,1.9941,1.36745,1.63717,0.000855018,0.000855018,0.000855018
27,913.532,1.30795,0.66944,1.31354,0.8147,0.69558,0.77895,0.33165,1.97526,1.08582,1.68043,0.000843851,0.000843851,0.000843851
28,946.504,1.27889,0.65597,1.32088,0.82159,0.73628,0.75321,0.36059,1.90114,1.10001,1.65608,0.000832349,0.000832349,0.000832349
29,980.28,1.27006,0.63446,1.30148,0.79139,0.75873,0.78091,0.34897,2.01297,1.09341,1.74302,0.000820525,0.000820525,0.000820525
30,1013.42,1.26339,0.61423,1.29528,0.77766,0.7292,0.75171,0.25778,2.27898,1.19733,1.92105,0.000808389,0.000808389,0.000808389
31,1046.54,1.27322,0.6307,1.30429,0.77909,0.69911,0.7296,0.32747,1.98243,1.13267,1.68417,0.000795954,0.000795954,0.000795954
